id,name,slug,icon,type,description,output_facility_craft_table,created_at,updated_at
318,"{""en-US"":""Endministrator"",""zh-CN"":""管理员"",""ja-JP"":""管理人"",""ko-KR"":""관리자"",""zh-TW"":""管理員""}",chr_0002_endminm,item_chr_0002_endminm,,"{""en-US"":""The Endministrator is a sword-wielding guard who deals Physical Damage."",""zh-CN"":""管理员是一名使用单手剑的近卫干员，可造成物理属性的伤害。"",""ja-JP"":""管理人は片手剣を使う前衛オペレーターで、物理属性のダメージを与えることができる。"",""ko-KR"":""관리자는 한손검을 사용하는 가드 오퍼레이터로, 물리 속성 피해를 줄 수 있다."",""zh-TW"":""管理員是一名使用單手劍的近衛幹員，可造成物理屬性的傷害。""}",[],2025-11-15 00:30:50,2025-11-15 00:47:53
319,"{""en-US"":""Endministrator"",""zh-CN"":""管理员"",""ja-JP"":""管理人"",""ko-KR"":""관리자"",""zh-TW"":""管理員""}",chr_0003_endminf,item_chr_0003_endminf,,"{""en-US"":""The Endministrator is a sword-wielding guard who deals Physical Damage."",""zh-CN"":""管理员是一名使用单手剑的近卫干员，可造成物理属性的伤害。"",""ja-JP"":""管理人は片手剣を使う前衛オペレーターで、物理属性のダメージを与えることができる。"",""ko-KR"":""관리자는 한손검을 사용하는 가드 오퍼레이터로, 물리 속성 피해를 줄 수 있다."",""zh-TW"":""管理員是一名使用單手劍的近衛幹員，可造成物理屬性的傷害。""}",[],2025-11-15 00:30:50,2025-11-15 00:47:53
320,"{""en-US"":""Perlica"",""zh-CN"":""佩丽卡"",""ja-JP"":""ペリカ"",""ko-KR"":""펠리카"",""zh-TW"":""佩麗卡""}",chr_0004_pelica,item_chr_0004_pelica,,"{""en-US"":""Perlica is a caster armed with a personal body orbiter (PEBO) drone. She deals Electric Damage."",""zh-CN"":""佩丽卡是一名使用浮游炮的术士干员，可造成电磁属性的伤害。"",""ja-JP"":""ペリカは浮遊砲を使う術師オペレーターで、電磁属性のダメージを与えることができる。"",""ko-KR"":""펠리카는 부유포를 사용하는 캐스터 오퍼레이터로, 전기 속성 피해를 줄 수 있다."",""zh-TW"":""佩麗卡是一名使用浮游炮的術師幹員，可造成電磁屬性的傷害。""}",[],2025-11-15 00:30:50,2025-11-15 00:47:53
321,"{""en-US"":""Chen Qianyu"",""zh-CN"":""陈千语"",""ja-JP"":""チェン・センユー"",""ko-KR"":""진천우"",""zh-TW"":""陳千語""}",chr_0005_chen,item_chr_0005_chen,,"{""en-US"":""Chen Qianyu is a sword-wielding guard who deals Physical Damage."",""zh-CN"":""陈千语是一名使用单手剑的近卫干员，可造成物理属性的伤害。"",""ja-JP"":""チェン・センユーは片手剣を使う前衛オペレーターで、物理属性のダメージを与えることができる。"",""ko-KR"":""진천우는 한손검을 사용하는 가드 오퍼레이터로, 물리 속성 피해를 줄 수 있다."",""zh-TW"":""陳千語是一名使用單手劍的近衛幹員，可造成物理屬性的傷害。""}",[],2025-11-15 00:30:50,2025-11-15 00:47:54
322,"{""en-US"":""Wulfgard"",""zh-CN"":""狼卫"",""ja-JP"":""ウルフガード"",""ko-KR"":""울프가드"",""zh-TW"":""狼衛""}",chr_0006_wolfgd,item_chr_0006_wolfgd,,"{""en-US"":""Wulfgard is gun-wielding specialist who deals Heat Damage."",""zh-CN"":""狼卫是一名使用手枪的特种干员，可造成灼热属性的伤害。"",""ja-JP"":""ウルフガードは拳銃を使う特殊オペレーターで、灼熱属性のダメージを与えることができる。"",""ko-KR"":""울프가드는 권총을 사용하는 스페셜리스트 오퍼레이터로, 열기 속성 피해를 줄 수 있다."",""zh-TW"":""狼衛是一名使用手槍的特種幹員，可造成灼熱屬性的傷害。""}",[],2025-11-15 00:30:50,2025-11-15 00:47:54
323,"{""en-US"":""Arclight"",""zh-CN"":""弧光"",""ja-JP"":""アークライト"",""ko-KR"":""아크라이트"",""zh-TW"":""弧光""}",chr_0007_ikut,item_chr_0007_ikut,,"{""en-US"":""Arclight is a sword-wielding specialist who deals Electric Damage."",""zh-CN"":""弧光是一名使用单手剑的特种干员，可造成电磁属性的伤害。"",""ja-JP"":""アークライトは片手剣を使う特殊オペレーターで、電磁属性のダメージを与えることができる。"",""ko-KR"":""아크라이트는 한손검을 사용하는 스페셜리스트 오퍼레이터로, 전기 속성 피해를 줄 수 있다."",""zh-TW"":""弧光是一名使用單手劍的特種幹員，可造成電磁屬性的傷害。""}",[],2025-11-15 00:30:50,2025-11-15 00:47:54
324,"{""en-US"":""Ember"",""zh-CN"":""余烬"",""ja-JP"":""エンバー"",""ko-KR"":""엠버"",""zh-TW"":""餘燼""}",chr_0009_azrila,item_chr_0009_azrila,,"{""en-US"":""Ember is a defender armed with a great sword. She deals Heat Damage."",""zh-CN"":""余烬是一名使用双手武器的重装干员，可造成灼热属性的伤害。"",""ja-JP"":""エンバーは両手武器を使う重装オペレーターで、灼熱属性のダメージを与えることができる。"",""ko-KR"":""엠버은 양손 무기를 사용하는 디펜더 오퍼레이터로, 열기 속성 피해를 줄 수 있다."",""zh-TW"":""餘燼是一名使用雙手武器的重裝幹員，可造成灼熱屬性的傷害。""}",[],2025-11-15 00:30:50,2025-11-15 00:47:54
325,"{""en-US"":""Xaihi"",""zh-CN"":""赛希"",""ja-JP"":""ザイヒ"",""ko-KR"":""자이히"",""zh-TW"":""賽希""}",chr_0011_seraph,item_chr_0011_seraph,,"{""en-US"":""Xaihi is a support operator armed with a personal body orbiter (PEBO) drone. She deals Cryo Damage."",""zh-CN"":""赛希是一名使用浮游炮的辅助干员，可造成寒冷属性的伤害。"",""ja-JP"":""ザイヒは浮遊砲を使う補助オペレーターで、寒冷属性のダメージを与えることができる。"",""ko-KR"":""자이히는 부유포를 사용하는 서포터 오퍼레이터로, 냉기 속성 피해를 줄 수 있다."",""zh-TW"":""賽希是一名使用浮游炮的輔助幹員，可造成寒冷屬性的傷害。""}",[],2025-11-15 00:30:51,2025-11-15 00:47:54
326,"{""en-US"":""Avywenna"",""zh-CN"":""艾维文娜"",""ja-JP"":""アイビーエナ"",""ko-KR"":""아비웨나"",""zh-TW"":""艾維文娜""}",chr_0012_avywen,item_chr_0012_avywen,,"{""en-US"":""Avywenna is a polearm-wielding specialist who deals Electric Damage."",""zh-CN"":""艾维文娜是一名使用长柄武器的特种干员，可造成电磁属性的伤害。"",""ja-JP"":""アイビーエナは長柄武器を使う特殊オペレーターで、電磁属性のダメージを与えることができる。"",""ko-KR"":""아비웨나는 긴 무기를 사용하는 스페셜리스트 오퍼레이터로, 전기 속성 피해를 줄 수 있다."",""zh-TW"":""艾維文娜是一名使用長柄武器的特種幹員，可造成電磁屬性的傷害。""}",[],2025-11-15 00:30:51,2025-11-15 00:47:54
327,"{""en-US"":""Gilberta"",""zh-CN"":""洁尔佩塔"",""ja-JP"":""ギルベルタ"",""ko-KR"":""질베르타"",""zh-TW"":""潔爾佩塔""}",chr_0013_aglina,item_chr_0013_aglina,,"{""en-US"":""Gilberta is a support operator armed with a personal body orbiter (PEBO) drone. She deals Nature Damage."",""zh-CN"":""洁尔佩塔是一名使用浮游炮的辅助干员，可造成自然属性的伤害。"",""ja-JP"":""ギルベルタは浮遊砲を使う補助オペレーターで、自然属性のダメージを与えることができる。"",""ko-KR"":""질베르타는 부유포를 사용하는 서포터 오퍼레이터로, 자연 속성 피해를 줄 수 있다."",""zh-TW"":""潔爾佩塔是一名使用浮游炮的輔助幹員，可造成自然屬性的傷害。""}",[],2025-11-15 00:30:51,2025-11-15 00:47:55
