id,name,slug,icon,type,description,range,created_at,updated_at
75,"{""en-US"":""Grenade Tower"",""zh-CN"":""榴弹塔"",""ja-JP"":""榴弾タワー"",""ko-KR"":""유탄 타워"",""zh-TW"":""榴彈塔""}",battle_cannon_1,item_port_battle_cannon_1,,"{""en-US"":""ATK Rate: MEDIUM / Range: MEDIUM \nAttacks enemies by launching grenades along a ballistic trajectory. The grenades detonate above ground near enemies to deal Physical AOE DMG."",""zh-CN"":""攻击速度：中 攻击范围：中\n以抛物线发射榴弹攻击敌人，榴弹会在敌人附近地面爆炸并造成范围物理伤害。"",""ja-JP"":""攻撃速度：普通　攻撃距離：普通\n放物線を描くように榴弾を発射する。榴弾は敵付近の地面で爆発し、広範囲の物理ダメージを与える。"",""ko-KR"":""공격 속도: 중 공격 범위: 중\n포물선을 그리며 적을 향해 유탄을 발사하고, 유탄은 적 근처에서 폭발하여 범위 물리 피해를 준다."",""zh-TW"":""攻擊速度：中 攻擊範圍：中\n以拋物線發射榴彈攻擊敵人，榴彈會在敵人附近地面爆炸並造成範圍物理傷害。""}","{""depth"":2,""height"":4,""width"":2,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:44,2025-11-15 00:47:37
76,"{""en-US"":""Prologue Cannon"",""zh-CN"":""序章炮"",""ja-JP"":""翻訳不要"",""zh-TW"":""序章炮""}",battle_cannon_1_dg002,,,"{""en-US"":""DESCRIPTIONS should not appear normally"",""zh-CN"":""正常不出现介绍"",""ja-JP"":""翻訳不要"",""zh-TW"":""正常不出現介紹""}","{""depth"":5,""height"":10,""width"":5,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:44,2025-11-15 00:47:37
77,"{""en-US"":""HE Grenade Tower"",""zh-CN"":""高爆榴弹塔"",""ja-JP"":""高火力榴弾タワー"",""ko-KR"":""고폭 유탄 타워"",""zh-TW"":""高爆榴彈塔""}",battle_cannon_2,item_port_battle_cannon_2,,"{""en-US"":""ATK Rate: MEDIUM / Range: MEDIUM \nAttacks enemies by launching Mk II grenades along a ballistic trajectory. The grenades detonate above ground near enemies to deal Physical AOE DMG."",""zh-CN"":""攻击速度：中 攻击范围：中\n以抛物线发射II级榴弹攻击敌人，榴弹会在敌人附近地面爆炸并造成范围物理伤害。"",""ja-JP"":""攻撃速度：普通　攻撃距離：普通\n放物線を描くようにⅡ級榴弾を発射する。榴弾は敵付近の地面で爆発し、広範囲の物理ダメージを与える。"",""ko-KR"":""공격 속도: 중 공격 범위: 중\n포물선을 그리며 적을 향해 레벨 II 유탄을 발사하고, 유탄은 적 근처에서 폭발하여 범위 물리 피해를 준다."",""zh-TW"":""攻擊速度：中 攻擊範圍：中\n以拋物線發射II級榴彈攻擊敵人，榴彈會在敵人附近地面爆炸並造成範圍物理傷害。""}","{""depth"":2,""height"":4,""width"":2,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:44,2025-11-15 00:47:37
78,"{""en-US"":""LN Tower"",""zh-CN"":""液氮塔"",""ja-JP"":""液体窒素タワー"",""ko-KR"":""액체 질소 타워"",""zh-TW"":""液態氮塔""}",battle_frost_1,item_port_battle_frost_1,,"{""en-US"":""ATK Rate: MEDIUM / Range: MEDIUM \nFires special LN crystals that deal Cryo DMG. The rounds shatter upon impact to slow enemies in the AOE."",""zh-CN"":""攻击速度：中 攻击范围：中\n发射特殊液氮晶体，造成寒冷伤害，晶体爆裂后对范围内敌人造成减速效果。"",""ja-JP"":""攻撃速度：普通　攻撃距離：普通\n特殊な液体窒素結晶を発射し、寒冷ダメージを与える。結晶が粉砕すると、範囲内の敵を減速させる。"",""ko-KR"":""공격 속도: 중 공격 범위: 중\n적을 향해 특수 액체 질소 결정체를 발사하여 냉기 피해를 주고 결정체가 폭발하면서 범위 내의 적에게 감속 효과를 준다."",""zh-TW"":""攻擊速度：中 攻擊範圍：中\n發射特殊液態氮晶體，造成寒冷傷害，晶體爆裂後對範圍內敵人造成減速效果。""}","{""depth"":2,""height"":4,""width"":2,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:44,2025-11-15 00:47:37
79,"{""en-US"":""Beam Tower"",""zh-CN"":""射线塔"",""ja-JP"":""光線タワー"",""ko-KR"":""빔 타워"",""zh-TW"":""射線塔""}",battle_laser_1,item_port_battle_laser_1,,"{""en-US"":""ATK Rate: VERY SLOW / Range: MEDIUM \nConsumes vast amounts of energy to emit a cohesive beam of light that deals massive Physical DMG to enemies."",""zh-CN"":""攻击速度：极慢 攻击范围：中\n消耗大量充能向目标发射激光，对敌人造成高额物理伤害。"",""ja-JP"":""攻撃速度：非常に遅い　攻撃距離：普通\n大量のエネルギーを消費してレーザーを発射する。敵に高い物理ダメージを与える。"",""ko-KR"":""공격 속도: 매우 느림 공격 범위: 중\n대량의 에너지를 소모하여 적을 향해 레이저를 발사해 높은 물리 피해를 준다."",""zh-TW"":""攻擊速度：極慢 攻擊範圍：中\n消耗大量充能向目標發射鐳射，對敵人造成高額物理傷害。""}","{""depth"":2,""height"":6,""width"":2,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:44,2025-11-15 00:47:37
80,"{""en-US"":""HF Beam Tower"",""zh-CN"":""高频射线塔"",""ja-JP"":""高周波光線タワー"",""ko-KR"":""고주파 빔 타워"",""zh-TW"":""高頻射線塔""}",battle_laser_2,item_port_battle_laser_2,,"{""en-US"":""ATK Rate: VERY SLOW / Range: MEDIUM \nConsumes vast amounts of energy to emit a cohesive beam of light that deals massive Physical DMG to enemies."",""zh-CN"":""攻击速度：极慢 攻击范围：中\n消耗大量充能向目标发射强力激光，对敌人造成高额物理伤害。"",""ja-JP"":""攻撃速度：非常に遅い　攻撃距離：普通\n大量のエネルギーを消費して強力なレーザーを発射する。敵に高い物理ダメージを与える。"",""ko-KR"":""공격 속도: 매우 느림 공격 범위: 중\n대량의 에너지를 소모하여 적을 향해 강력한 레이저를 발사해 높은 물리 피해를 준다."",""zh-TW"":""攻擊速度：極慢 攻擊範圍：中\n消耗大量充能向目標發射強力鐳射，對敵人造成高額物理傷害。""}","{""depth"":2,""height"":6,""width"":2,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:44,2025-11-15 00:47:38
81,"{""en-US"":""Surge Tower"",""zh-CN"":""电涌塔"",""ja-JP"":""電流タワー"",""ko-KR"":""전류 타워"",""zh-TW"":""電湧塔""}",battle_lightning_1,item_port_battle_lightning_1,,"{""en-US"":""ATK Rate: SLOW / Range: MEDIUM \nReleases arc surges to attack enemies. The arc also chains to nearby enemies (up to 2) and deals Electric DMG."",""zh-CN"":""攻击速度：慢 攻击范围：中\n释放电能进行攻击，攻击会弹射到附近敌人（至多2次），造成电磁伤害。"",""ja-JP"":""攻撃速度：遅い　攻撃距離：普通\n電力を放出して攻撃する。近くの敵に連鎖して（最大2回）電磁ダメージを与える。"",""ko-KR"":""공격 속도: 느림 공격 범위: 중\n전기 에너지를 방출해 공격하고, 최대 2번 근처의 적에게 튕기며 전기 피해를 준다."",""zh-TW"":""攻擊速度：慢 攻擊範圍：中\n釋放電能進行攻擊，攻擊會彈射到附近敵人（至多2次），造成電磁傷害。""}","{""depth"":2,""height"":5,""width"":2,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:44,2025-11-15 00:47:38
82,"{""en-US"":""Medical Tower"",""zh-CN"":""医疗塔"",""ja-JP"":""医療タワー"",""ko-KR"":""의료 타워"",""zh-TW"":""醫療塔""}",battle_medic_1,item_port_battle_medic_1,,"{""en-US"":""Converts electrical power into healing arts that can treat injured operators nearby."",""zh-CN"":""可将充能转化为治疗量，以一定间隔治疗周围受伤的干员。"",""ja-JP"":""一定時間ごとにエネルギーを消費して、周りの負傷したオペレーターを治療することができる。"",""ko-KR"":""충전된 에너지를 치유량으로 변환시켜 일정 간격으로 주위의 부상 당한 오퍼레이터를 치료한다."",""zh-TW"":""可將充能轉化為治療量，以一定間隔治療周圍受傷的幹員。""}","{""depth"":3,""height"":4,""width"":3,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:45,2025-11-15 00:47:38
83,"{""en-US"":""Sonic Tower"",""zh-CN"":""定向声波塔"",""ja-JP"":""指向性音波タワー"",""ko-KR"":""음파 타워"",""zh-TW"":""定向聲波塔""}",battle_shockwave_1,item_port_battle_shockwave_1,,"{""en-US"":""ATK Rate: VERY SLOW / Range: SHORT \nFires a shockwave that stuns and deals Stagger DMG to enemies within the AOE."",""zh-CN"":""攻击速度：极慢 攻击范围：近\n发射一道震荡波，对范围内的敌人造成晕眩效果。"",""ja-JP"":""攻撃速度：非常に遅い　攻撃距離：近い\nパルス波を発射し、範囲内の敵にスタン効果を付与する。"",""ko-KR"":""공격 속도: 매우 느림 공격 범위: 근거리\n충격파를 발사해 범위 내의 적을 기절시킨다."",""zh-TW"":""攻擊速度：極慢 攻擊範圍：近\n發射一道震盪波，對範圍內的敵人造成暈眩效果。""}","{""depth"":2,""height"":4,""width"":2,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:45,2025-11-15 00:47:38
84,"{""en-US"":""Sentry Tower"",""zh-CN"":""哨戒塔"",""ja-JP"":""哨戒タワー"",""ko-KR"":""감시 타워"",""zh-TW"":""哨戒塔""}",battle_sniper_1,item_port_battle_sniper_1,,"{""en-US"":""ATK Rate: SLOW / Range: LONG \nAttacks high-threat enemies first and deals massive Physical DMG to them."",""zh-CN"":""攻击速度：慢 攻击范围：远\n优先锁定范围内威胁更高的敌人，对敌人造成高额物理伤害。"",""ja-JP"":""攻撃速度：遅い　攻撃距離：遠い\n範囲内の脅威度が高い敵を優先的に狙い、敵に高い物理ダメージを与える。"",""ko-KR"":""공격 속도: 느림 공격 범위: 원거리\n범위 내에서 가장 위협이 높은 적을 우선적으로 공격하여 높은 물리 피해를 준다."",""zh-TW"":""攻擊速度：慢 攻擊範圍：遠\n優先鎖定範圍內威脅更高的敵人，對敵人造成高額物理傷害。""}","{""depth"":2,""height"":4,""width"":2,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:45,2025-11-15 00:47:38
